n,m,value,time_exe
10000,2000,1,0.0009040000
10000,4000,1,0.0010580000
10000,6000,1,0.0010920000
10000,8000,1,0.0011260000
10000,10000,1,0.0011290000
10000,12000,1,0.0010590000
10000,14000,1,0.0011170000
10000,16000,1,0.0013600000
10000,18000,1,0.0014620000
10000,20000,1,0.0015420000
10000,22000,1,0.0016860000
10000,24000,1,0.0015790000
10000,26000,1,0.0016540000
10000,28000,1,0.0016590000
10000,30000,1,0.0016870000
